time_utc,nwm_height_ft,nwm_height_m
2019-02-27 13:00:00+00:00,48.52,14.788896000000001
2019-02-27 14:00:00+00:00,48.52,14.788896000000001
2019-02-27 15:00:00+00:00,48.52,14.788896000000001
2019-02-27 16:00:00+00:00,48.52,14.788896000000001
2019-02-27 17:00:00+00:00,48.52,14.788896000000001
2019-02-27 18:00:00+00:00,48.52,14.788896000000001
2019-02-27 19:00:00+00:00,48.52,14.788896000000001
2019-02-27 20:00:00+00:00,48.52,14.788896000000001
2019-02-27 21:00:00+00:00,48.52,14.788896000000001
2019-02-27 22:00:00+00:00,48.52,14.788896000000001
2019-02-27 23:00:00+00:00,48.52,14.788896000000001
2019-02-28 00:00:00+00:00,48.52,14.788896000000001
2019-02-28 01:00:00+00:00,48.52,14.788896000000001
2019-02-28 02:00:00+00:00,48.52,14.788896000000001
2019-02-28 03:00:00+00:00,48.52,14.788896000000001
2019-02-28 04:00:00+00:00,48.52,14.788896000000001
2019-02-28 05:00:00+00:00,48.05149328327332,14.646095152741708
2019-02-28 06:00:00+00:00,46.542745806688494,14.186228921878653
2019-02-28 07:00:00+00:00,45.06034432794858,13.734392951158727
2019-02-28 08:00:00+00:00,43.62536564532949,13.297011448696429
2019-02-28 09:00:00+00:00,42.318604152222264,12.898710545597346
2019-02-28 10:00:00+00:00,41.11722665049464,12.532530683070767
2019-02-28 11:00:00+00:00,39.96678474460052,12.181875990154237
2019-02-28 12:00:00+00:00,38.860252835114565,11.84460506414292
2019-02-28 13:00:00+00:00,37.82046412016903,11.527677463827521
2019-02-28 14:00:00+00:00,36.83863660048228,11.228416435827
2019-02-28 15:00:00+00:00,35.921795875479624,10.94896338284619
2019-02-28 16:00:00+00:00,35.03481394803454,10.678611291360928
2019-02-28 17:00:00+00:00,34.16363961929639,10.41307735596154
2019-02-28 18:00:00+00:00,33.313542088834154,10.15396762867665
2019-02-28 19:00:00+00:00,32.484521356647846,9.901282109506264
2019-02-28 20:00:00+00:00,31.69238502144441,9.659838954536257
2019-02-28 21:00:00+00:00,30.938889483080164,9.430173514442835
2019-02-28 22:00:00+00:00,30.215252742273474,9.209609035844956
2019-02-28 23:00:00+00:00,29.530256798305974,9.000822272123662
2019-03-01 00:00:00+00:00,28.901465649740942,8.80916673004104
2019-03-01 01:00:00+00:00,28.34819969499796,8.640531267035378
2019-03-01 02:00:00+00:00,27.851138535657444,8.48902702566839
2019-03-01 03:00:00+00:00,27.394474573012445,8.349835849854193
2019-03-01 04:00:00+00:00,26.972938607493987,8.221351687564168
2019-03-01 05:00:00+00:00,26.5759922399641,8.100362434741058
2019-03-01 06:00:00+00:00,26.20714827013545,7.987938792737285
2019-03-01 07:00:00+00:00,25.868163097864354,7.884616112229056
2019-03-01 08:00:00+00:00,25.56254952286347,7.791465094568786
2019-03-01 09:00:00+00:00,25.262205147431565,7.6999201289371415
2019-03-01 10:00:00+00:00,24.961860771999664,7.608375163305498
2019-03-01 11:00:00+00:00,24.67556759541838,7.5211130030835225
2019-03-01 12:00:00+00:00,24.394543618406068,7.43545689489017
2019-03-01 13:00:00+00:00,24.101224842399475,7.34605333196336
2019-03-01 14:00:00+00:00,23.799124067111244,7.253973015655507
2019-03-01 15:00:00+00:00,23.498779691679342,7.1624280500238635
2019-03-01 16:00:00+00:00,23.201948115960093,7.071953785744637
2019-03-01 17:00:00+00:00,22.913898539522478,6.984156274846452
2019-03-01 18:00:00+00:00,22.63111816265384,6.897964815976891
2019-03-01 19:00:00+00:00,22.337799386647248,6.808561253050081
2019-03-01 20:00:00+00:00,22.051506210065963,6.721299092828105
2019-03-01 21:00:00+00:00,21.77926423233529,6.638319738015797
2019-03-01 22:00:00+00:00,21.514047854029926,6.557481785908322
