latitude_dd,longitude_dd,eventName,hwmTypeName,hwmQualityName,verticalDatumName,elev_ft,waterbody
29.939213,-99.011606,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1486.6,Guadalupe River
29.941657,-98.99344,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1477.3,Guadalupe River
29.939426,-98.984976,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1468.9,Guadalupe River
29.939941,-98.960189,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1453.0,Guadalupe River
29.941719,-98.948475,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1446.9,Guadalupe River
29.952215,-98.933619,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1429.7,Guadalupe River
29.952659,-98.924954,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1424.8,Guadalupe River
29.947081,-98.929795,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1428.9,Guadalupe River
29.945874,-98.934865,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1433.0,Guadalupe River
29.954906,-98.919627,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1422.1,Guadalupe River
29.951648,-98.916014,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1422.1,Guadalupe River
29.964434,-98.900559,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1407.5,Guadalupe River
29.963988,-98.895005,2025 July TX Flood,Debris,Excellent: +/- 0.05 ft,NAVD88,1407.5,Guadalupe River
29.97058,-98.892445,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1403.4,Guadalupe River
29.977677,-98.846869,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1366.3,Guadalupe River
30.06222,-99.17694,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1646.277,Guadalupe River
